SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Kishangarh,Ajmer,Rajasthan,village,DARDUND,"0811900606091403",74.8177898164,26.8145573312
Kishangarh,Ajmer,Rajasthan,village,KATHODA,"0811900606091433",74.9059011725,26.8217091232
Kishangarh,Ajmer,Rajasthan,village,NITUTI,"0811900606091401",74.7896756009,26.8224551025
Kishangarh,Ajmer,Rajasthan,village,MANPURA,"0811900606091400",74.7888275804,26.8484666313
Kishangarh,Ajmer,Rajasthan,village,PANER,"0811900606091399",74.8250025830,26.8440248798
Kishangarh,Ajmer,Rajasthan,village,BHAMOLAV,"0811900606091534",75.1421237101,26.4347662136
Kishangarh,Ajmer,Rajasthan,village,GELPUR,"0811900606091533",75.1187130507,26.4532607357
Ajmer,Ajmer,Rajasthan,village,BARALIYA,"0811900607091642",74.7177146667,26.4409427715
Kishangarh,Ajmer,Rajasthan,village,KHERA,"0811900606091492",74.8327260724,26.4617498198
Kishangarh,Ajmer,Rajasthan,village,BHARLA,"0811900606091499",74.9620851548,26.4796747224
Ajmer,Ajmer,Rajasthan,village,MADARPURA,"0811900607091612",74.6856206652,26.4752168931
Masuda,Ajmer,Rajasthan,village,ADERA,"0811900610092051",74.6128936659,26.1600281778
Nasirabad,Ajmer,Rajasthan,village,KERIYA KHURD,"0811900611092109",74.9143129569,26.3263494151
Nasirabad,Ajmer,Rajasthan,village,NASIRABAD,"0811900611800573",74.7263530402,26.3016092621
Peesangan,Ajmer,Rajasthan,village,RATANGARH,"0811900608091678",74.2770415177,26.2980645295
Nasirabad,Ajmer,Rajasthan,village,RAJPURA,"0811900611092123",74.8577253172,26.3506430628
Kishangarh,Ajmer,Rajasthan,village,KERIYA,"0811900606091522",74.9901280723,26.3534289626
Kishangarh,Ajmer,Rajasthan,village,DHASUK,"0811900606091550",75.0987328075,26.3458178846
Kishangarh,Ajmer,Rajasthan,village,JHADOL,"0811900606091520",74.9377654070,26.3476924409
Peesangan,Ajmer,Rajasthan,village,MAKRERA,"0811900608091691",74.5202638833,26.3217794069
Nasirabad,Ajmer,Rajasthan,village,RAJOSI,"0811900611092148",74.6749030296,26.3309267325
Peesangan,Ajmer,Rajasthan,village,DODIYANA,"0811900608091656",74.4967856225,26.3397103941
Peesangan,Ajmer,Rajasthan,village,DANTRA,"0811900608091657",74.4637293674,26.3416332697
Ajmer,Ajmer,Rajasthan,village,BALWANTA,"0811900607091623",74.6982948930,26.3468215657
Ajmer,Ajmer,Rajasthan,village,JATIYA,"0811900607091622",74.7179550586,26.3545923647
Nasirabad,Ajmer,Rajasthan,village,KADAMPURA,"0811900611092106",74.8890434526,26.3733385925
Nasirabad,Ajmer,Rajasthan,village,NABAB,"0811900611092108",74.9183526137,26.3694964764
Peesangan,Ajmer,Rajasthan,village,NAD,"0811900608091672",74.3816453684,26.3528993300
Ajmer,Ajmer,Rajasthan,village,SARADHANA,"0811900607091630",74.5672892755,26.3444336074
Ajmer,Ajmer,Rajasthan,village,KHAJPURA,"0811900607091624",74.6592482035,26.3729568560
Nasirabad,Ajmer,Rajasthan,village,LAWERA,"0811900611092126",74.7787112516,26.3796338474
Ajmer,Ajmer,Rajasthan,village,DANTA,"0811900607091621",74.7141744001,26.3704019588
Kishangarh,Ajmer,Rajasthan,village,GUNDALI,"0811900606091540",75.1107194096,26.3962356495
Peesangan,Ajmer,Rajasthan,village,NURIYAWAS,"0811900608091654",74.4678807096,26.3737364469
Peesangan,Ajmer,Rajasthan,village,GARHI GUJRAN,"0811900608091653",74.4891455531,26.4065145577
Nasirabad,Ajmer,Rajasthan,village,TIHARI,"0811900611092105",74.9064939359,26.4025824862
Kishangarh,Ajmer,Rajasthan,village,LAMBA,"0811900606091523",75.0043442144,26.3979626830
Ajmer,Ajmer,Rajasthan,village,SOMALPUR,"0811900607091640",74.6010534845,26.4075973198
Peesangan,Ajmer,Rajasthan,village,FATEHPURA,"0811900608091663",74.4097002845,26.4110303285
Kishangarh,Ajmer,Rajasthan,village,KAKNIYA,"0811900606091462",74.9932963405,26.6726886943
Kishangarh,Ajmer,Rajasthan,village,PNGLOD,"0811900606091448",74.7943678367,26.7019264668
Kishangarh,Ajmer,Rajasthan,village,PAWARON KI DHANI,"0811900606091415",74.7197138007,26.7121129858
Chohtan,Barmer,Rajasthan,village,HATHLA,"0811500584089040",71.0657523618,24.8171762598
Chohtan,Barmer,Rajasthan,village,AMBAWA,"0811500584089044",71.1916289946,24.8546748838
Ramsar,Barmer,Rajasthan,village,MANDRUP KA TALA,"0811500583088630",70.7612599012,25.6026488249
Peesangan,Ajmer,Rajasthan,village,RAMPURA DABLA,"0811900608091662",74.4155922280,26.3910764682
Nasirabad,Ajmer,Rajasthan,village,KANPURA,"0811900611092103",74.8525701450,26.3962187772
Ajmer,Ajmer,Rajasthan,village,SEDARIYA,"0811900607091620",74.6813655301,26.4132088040
Kishangarh,Ajmer,Rajasthan,village,DANG,"0811900606091536",75.0910525146,26.4111433021
Ajmer,Ajmer,Rajasthan,village,AJAYSAR,"0811900607091603",74.5582935949,26.4172447879
Peesangan,Ajmer,Rajasthan,village,PICHOLIYAN,"0811900608091652",74.4766145432,26.4206650076
Nasirabad,Ajmer,Rajasthan,village,MOHANPURA,"0811900611092099",74.8098094005,26.4449263136
Ajmer,Ajmer,Rajasthan,village,KHAREKHARI,"0811900607091602",74.5387486494,26.4280962060
Peesangan,Ajmer,Rajasthan,village,SAWAIPURA,"0811900608091651",74.5004147900,26.4372714066
Peesangan,Ajmer,Rajasthan,village,PISANGAN,"0811900608091664",74.3676129270,26.4002797550
Masuda,Ajmer,Rajasthan,village,KASHIPURA,"0811900610091957",74.4908328590,26.1862439665
Chohtan,Barmer,Rajasthan,village,SAIYON KI BASTI,"0811500584088728",70.9339092089,25.5574680511
